row;col;UP;ElevP50;ARMFR;ElevP90
56;19;52I212;10.3409;64.1217;26.0479
56;20;52I212;9.3159;61.6576;26.27
56;21;52I212;9.1387;60.6363;26.8193
56;22;52I212;11.8565;63.2709;26.5205
56;23;52I212;8.7643;62.2518;26.4236
56;24;52I212;10.1309;61.8444;26.3766
56;25;52I212;7.5883;59.5338;26.0245
56;26;52I212;9.6123;61.2143;25.8281
56;27;52I212;13.5149;64.7078;25.5976
56;28;52I212;8.9638;62.6234;25.8749
56;29;52I212;10.0905;65.8721;25.5938
56;30;52I212;5.2335;61.5918;25.412
56;31;52I212;3.2687;58.5422;25.2464
56;32;52I212;2.5616;56.0226;24.9247
56;33;52I212;2.6736;58.1893;25.0253
56;34;52I212;6.8452;61.735;25.3578
56;35;52I212;12.7032;64.9244;25.3528
56;36;52I212;11.0181;63.4082;25.5947
56;37;52I212;10.0788;62.144;25.1081
56;38;52I212;11.9835;63.2954;25.2303
56;39;52I212;12.7072;64.2415;25.159
56;40;52I212;14.9757;64.07;25.2876
56;41;52I212;9.4478;62.0178;25.6556
56;42;52I212;11.6104;62.3255;25.7655
56;43;52I212;20.3456;68.6522;24.5985
56;44;52I212;21.0994;77.4638;22.6891
56;45;52I212;20.7343;78.1697;22.3587
56;46;52I212;17.1277;71.7937;21.7047
56;47;52I212;10.5982;70.9131;19.1308
55;10;52I212;18.8603;64.8759;28.0666
55;11;52I212;22.5791;69.6423;28.0091
55;12;52I212;20.6333;67.9247;28.5334
55;13;52I212;17.4277;66.5778;28.0933
55;14;52I212;11.5731;62.6212;28.0159
55;15;52I212;10.7256;62.0448;28.5395
55;16;52I212;13.5131;62.5192;28.7937
55;17;52I212;8.1075;58.7895;28.3105
55;18;52I212;11.929;61.9723;27.3546
55;19;52I212;12.6947;63.1615;26.8722
55;20;52I212;14.7838;64.5104;26.3927
55;21;52I212;15.8623;65.7424;25.9858
55;22;52I212;15.0426;63.8785;26.3029
55;23;52I212;13.3822;63.1177;26.601
55;24;52I212;12.6817;63.8477;26.4185
55;25;52I212;14.9425;64.1199;25.8241
55;26;52I212;16.5909;66.457;25.5734
55;27;52I212;14.2047;66.4273;26.0143
55;28;52I212;15.4179;66.3725;25.4397
55;29;52I212;16.5484;68.9451;24.9835
55;30;52I212;5.4421;60.234;25.4714
55;31;52I212;5.2432;61.4037;25.0792
55;32;52I212;2.8501;58.6283;24.5521
55;33;52I212;4.1253;58.969;24.7122
55;34;52I212;4.5194;61.9036;25.2593
55;35;52I212;9.6963;64.3049;25.5247
55;36;52I212;12.2101;64.4569;25.3558
55;37;52I212;6.7258;60.5558;25.1704
55;38;52I212;5.4716;59.4925;25.4745
55;39;52I212;7.209;60.6731;25.1199
55;40;52I212;9.4443;61.6654;25.1357
55;41;52I212;4.5249;59.8973;25.4296
55;42;52I212;4.4526;58.1716;25.7193
55;43;52I212;20.4921;65.2356;24.3953
55;44;52I212;21.1415;73.5118;22.9027
55;45;52I212;20.3542;74.4328;22.1037
55;46;52I212;19.369;74.7666;21.419
55;47;52I212;19.0569;74.3974;21.3275
55;48;52I212;20.6216;81.6558;21.687
54;10;52I212;11.324;62.6682;27.5251
54;11;52I212;6.8527;60.5113;28.4506
54;12;52I212;15.4112;66.182;27.7815
54;13;52I212;7.3507;60.546;28.1254
54;14;52I212;7.7578;60.6248;28.4441
54;15;52I212;7.4927;60.009;28.5642
54;16;52I212;8.0345;60.2112;28.5837
54;17;52I212;6.9739;60.794;28.4208
54;18;52I212;11.774;62.1196;27.9989
54;19;52I212;13.8;64.5005;27.0407
54;20;52I212;7.9255;60.9249;26.7388
54;21;52I212;5.751;58.4191;26.6034
54;22;52I212;6.4457;59.0306;26.8255
54;23;52I212;7.5013;59.8258;27.1059
54;24;52I212;8.6654;62.1641;26.2884
54;25;52I212;5.6267;59.3962;26.0475
54;26;52I212;5.1174;60.3278;25.8759
54;27;52I212;2.3865;57.7597;25.8207
54;28;52I212;4.4956;61.1585;25.3484
54;29;52I212;3.3356;59.8212;24.9811
54;30;52I212;9.6432;62.4307;25.1598
54;31;52I212;12.2589;65.3763;25.3338
54;32;52I212;10.8499;64.3492;25.3313
54;33;52I212;9.2844;64.5607;25.5329
54;34;52I212;12.2769;65.7309;25.4007
54;35;52I212;14.2767;66.7451;25.4347
54;36;52I212;17.1395;66.7897;24.9795
54;37;52I212;12.4492;65.4203;24.9314
54;38;52I212;20.8485;69.8923;24.8433
54;39;52I212;16.0145;66.2241;25.3181
54;40;52I212;16.9021;65.6317;25.379
54;41;52I212;9.211;61.6768;25.7418
54;42;52I212;7.7324;59.2057;25.4471
54;43;52I212;20.8331;70.7965;23.0136
54;44;52I212;20.499;76.0013;22.5361
54;45;52I212;19.7966;74.4606;21.7959
